word,valence,arousal,dominance,emotion,pos
destructive,0.177,0.87,0.713,anger,ADJ
sinister,0.125,0.896,0.581,anger,ADJ
drastic,0.194,0.839,0.657,anger,ADJ
bestial,0.26,0.761,0.674,anger,ADJ
brutal,0.122,0.882,0.643,anger,ADJ
eccentric,0.531,0.806,0.721,anger,ADJ
bloody,0.031,0.91,0.518,anger,ADJ
dangerous,0.02,0.941,0.658,anger,ADJ
outrageous,0.153,0.945,0.713,anger,ADJ
despotic,0.141,0.824,0.592,anger,ADJ
ruthless,0.208,0.85,0.67,anger,ADJ
moody,0.245,0.811,0.595,anger,ADJ
barbaric,0.235,0.798,0.738,anger,ADJ
fierce,0.281,0.877,0.759,anger,ADJ
violent,0.112,0.918,0.616,anger,ADJ
angry,0.122,0.83,0.604,anger,ADJ
aggressive,0.125,0.949,0.648,anger,ADJ
hostile,0.188,0.877,0.474,anger,ADJ
furious,0.062,0.953,0.598,anger,ADJ
ferocious,0.167,0.915,0.776,anger,ADJ
grotesque,0.135,0.788,0.5,disgust,ADJ
invidious,0.112,0.65,0.364,disgust,ADJ
loathsome,0.12,0.694,0.343,disgust,ADJ
horrid,0.052,0.765,0.419,disgust,ADJ
eerie,0.265,0.771,0.442,disgust,ADJ
awful,0.061,0.786,0.45,disgust,ADJ
atrocious,0.073,0.811,0.445,disgust,ADJ
vile,0.083,0.537,0.553,disgust,ADJ
weird,0.26,0.66,0.402,disgust,ADJ
abysmal,0.25,0.71,0.598,disgust,ADJ
abominable,0.12,0.731,0.482,disgust,ADJ
unsavory,0.071,0.637,0.353,disgust,ADJ
repellent,0.286,0.5,0.491,disgust,ADJ
repugnant,0.061,0.735,0.453,disgust,ADJ
repulsive,0.146,0.775,0.425,disgust,ADJ
murky,0.143,0.618,0.37,disgust,ADJ
disgusting,0.031,0.796,0.245,disgust,ADJ
nauseous,0.135,0.78,0.284,disgust,ADJ
odious,0.235,0.708,0.235,disgust,ADJ
ghastly,0.125,0.79,0.472,disgust,ADV
panicky,0.284,0.962,0.393,fear,ADV
uptight,0.184,0.716,0.333,fear,ADJ
spooky,0.104,0.858,0.38,fear,ADJ
worried,0.094,0.824,0.395,fear,ADJ
warped,0.219,0.663,0.304,fear,ADJ
grisly,0.083,0.863,0.426,fear,ADV
fright,0.177,0.816,0.191,fear,ADJ
nervous,0.235,0.82,0.213,fear,ADJ
horrendous,0.073,0.755,0.365,fear,ADJ
horrible,0.071,0.857,0.398,fear,ADJ
cranky,0.194,0.776,0.396,fear,ADJ
appalling,0.16,0.827,0.415,fear,ADJ
aghast,0.133,0.865,0.464,fear,ADJ
afraid,0.01,0.775,0.245,fear,ADJ
desperate,0.083,0.842,0.337,fear,ADJ
anxious,0.281,0.875,0.434,fear,ADJ
dreadful,0.092,0.786,0.348,fear,ADJ
scared,0.146,0.828,0.185,fear,ADJ
fearful,0.083,0.482,0.278,fear,ADJ
creepy,0.125,0.861,0.373,fear,ADJ
positive,0.959,0.51,0.855,joy,ADJ
marvelous,0.948,0.637,0.778,joy,ADJ
satisfied,0.959,0.51,0.685,joy,ADJ
colorful,0.85,0.52,0.519,joy,ADJ
romantic,0.936,0.531,0.598,joy,ADJ
cheerful,0.99,0.72,0.696,joy,ADJ
charming,0.917,0.66,0.764,joy,ADJ
splendid,0.896,0.74,0.81,joy,ADJ
refreshing,0.936,0.52,0.571,joy,ADJ
happy,1.0,0.735,0.772,joy,ADJ
exciting,0.95,0.792,0.789,joy,ADJ
harmonious,0.938,0.391,0.719,joy,ADJ
enthusiastic,0.885,0.868,0.848,joy,ADJ
hopeful,0.947,0.357,0.627,joy,ADJ
vibrant,0.771,0.824,0.782,joy,ADJ
wonderful,0.971,0.776,0.83,joy,ADJ
joyful,0.99,0.74,0.667,joy,ADJ
amusing,0.96,0.829,0.632,joy,ADJ
energetic,0.847,0.868,0.902,joy,ADJ
glad,0.938,0.76,0.74,joy,ADJ
sorrowful,0.049,0.422,0.163,sadness,ADJ
melancholy,0.188,0.26,0.237,sadness,ADJ
gloomy,0.107,0.41,0.287,sadness,ADJ
dark,0.198,0.398,0.426,sadness,ADJ
desolate,0.104,0.32,0.228,sadness,ADJ
depressed,0.024,0.445,0.136,sadness,ADJ
sunless,0.245,0.28,0.273,sadness,ADV
sullen,0.25,0.407,0.263,sadness,ADJ
stale,0.235,0.461,0.286,sadness,ADJ
solitary,0.224,0.202,0.268,sadness,ADJ
somber,0.184,0.5,0.38,sadness,ADJ
bleak,0.204,0.427,0.272,sadness,ADJ
barren,0.173,0.373,0.221,sadness,ADJ
alone,0.333,0.167,0.216,sadness,ADV
lifeless,0.042,0.333,0.163,sadness,ADJ
moribund,0.083,0.488,0.167,sadness,ADJ
miserable,0.062,0.461,0.188,sadness,ADJ
hopeless,0.094,0.298,0.112,sadness,ADJ
colorless,0.354,0.34,0.25,sadness,ADJ
dusty,0.406,0.294,0.255,sadness,ADJ
bustling,0.49,0.85,0.528,surprise,ADJ
chic,0.87,0.624,0.38,surprise,ADJ
funky,0.531,0.755,0.389,surprise,ADJ
frisky,0.7,0.632,0.525,surprise,ADJ
magical,0.875,0.651,0.595,surprise,ADJ
flamboyant,0.615,0.794,0.705,surprise,ADJ
crisp,0.776,0.692,0.508,surprise,ADJ
emotional,0.779,0.714,0.526,surprise,ADJ
desirous,0.719,0.824,0.562,surprise,ADJ
theatrical,0.72,0.69,0.546,surprise,ADJ
playful,0.892,0.688,0.463,surprise,ADJ
stunning,0.888,0.673,0.858,surprise,ADJ
majestic,0.948,0.731,0.906,surprise,ADJ
eager,0.521,0.812,0.306,surprise,ADJ
newborn,0.918,0.58,0.372,surprise,ADJ
astound,0.729,0.675,0.474,surprise,ADJ
wondrous,0.854,0.679,0.818,surprise,ADJ
glorious,0.959,0.673,0.827,surprise,ADJ
surprised,0.784,0.855,0.539,surprise,ADJ
awesome,0.98,0.897,0.891,surprise,ADJ
